woord	lengte	rang	omschrijving	bron
ACHTERKAMER	11	13195	Besloten ruimte	wiktionary
BASISCURSUS	11	13196	Lesprogramma	wiktionary
BRUIDSTAART	11	13197	Taart	wiktionary
CLUBLEIDING	11	13198	Bestuur	wiktionary
DOORDRAAIEN	11	13199	Bij gebrek aan kopers	wiktionary
GROENTEBOER	11	13200	Winkel	wiktionary
MEDEDINGING	11	13201	Concurrentie	wiktionary
MODERNITEIT	11	13202	Hedendaags verschijnsel	wiktionary
NAVELSTRENG	11	13203	Snoer dat de vrucht	wiktionary
ONDERKONING	11	13204	Gouverneur van een land	wiktionary
ONTVLAMBAAR	11	13205	Makkelijk	wiktionary
REDDINGBOOT	11	13206	Kleine boot	wiktionary
STOMDRONKEN	11	13207	Heel erg dronken	wiktionary
ZIEKTEBEELD	11	13208	Geheel	wiktionary
ZOLDERKAMER	11	13209	Kamer	wiktionary
AERODYNAMICA	12	13210	Wetenschap	wiktionary
BOUWTEKENING	12	13211	Technische tekening	wiktionary
DISCREPANTIE	12	13212	Onderlinge afwijking	wiktionary
OOGHEELKUNDE	12	13213	Leer en heelkunde	wiktionary
PAROCHIEKERK	12	13214	Lokaal kerkgebouw	wiktionary
SAMENTREKKEN	12	13215	In elkaar trekken	wiktionary
STABILISATOR	12	13216	Hulpmiddel	wiktionary
STRUIKELBLOK	12	13217	Zowel letterlijk	wiktionary
TROMGEROFFEL	12	13218	Lawaai dat ontstaat	wiktionary
VERGEVORDERD	12	13219	Dat iets bijna klaar	wiktionary
VOETBALSHIRT	12	13220	Bovendeel	wiktionary
PIJ	2	13221	Habijt	wiktionary
OLM	3	13222	Boom uit de iepenfamilie	wiktionary
BIPS	4	13223	Billen	wiktionary
COAT	4	13224	Jas	wiktionary
IJZIG	4	13225	Met een lage temperatuur	wiktionary
WIJLE	4	13226	Korte tijdsperiode	wiktionary
INRIT	5	13227	Weg die van de straat	wiktionary
LEPRA	5	13228	Ziekte leidt	wiktionary
MIAUW	5	13229	Geluid van een kat	wiktionary
ONZER	5	13230	Van wij en we	wiktionary
PLEBS	5	13231	Minne	wiktionary
SNERT	5	13232	Lobbige soep vervaardigd	wiktionary
WAKER	5	13233	Iemand die waakt	wiktionary
ZWOEL	5	13234	Vochtig warm	wiktionary
ACETON	6	13235	Kleurloze vloeistof	wiktionary
BASAAL	6	13236	Fundamenteel	wiktionary
BEUREN	6	13237	Tillen	wiktionary
BIOGAS	6	13238	Gasmengsel dat ontstaat	wiktionary
FACTIE	6	13239	Fictie	wiktionary
GAMMEL	6	13240	Niet stevig meer	wiktionary
GEPIEP	6	13241	Lange reeks piepgeluiden	wiktionary
MIMOSA	6	13242	Geslacht	wiktionary
NOUGAT	6	13243	Harde	wiktionary
NUMERO	6	13244	Onder het nummer	wiktionary
ONGEIN	6	13245	Flauwe grap	wiktionary
RIMBOE	6	13246	Oerwoud	wiktionary
SHOGUN	6	13247	Japanse krijgsheer	wiktionary
SJONGE	6	13248	Uitroep van verbazing	wiktionary
WIRWAR	6	13249	Ordeloos	wiktionary
ZANTEN	6	13250	Bijeenrapen	wiktionary
ZITZAK	6	13251	Zitmeubel in de vorm	wiktionary
ALLEGRO	7	13252	Opgewekt	wiktionary
ANAGRAM	7	13253	Woord dat	wiktionary
BARBIER	7	13254	Herenkapper	wiktionary
BIJLEREN	7	13255	Aanvullende kennis	wiktionary
BLUBBER	7	13256	Onderhuids vet	wiktionary
DIADEEM	7	13257	Band voor om het hoofd	wiktionary
GOURMET	7	13258	Maaltijd	wiktionary
HOOGMIS	7	13259	Plechtige	wiktionary
JAAGPAD	7	13260	Pad langs de kant	wiktionary
KADAVER	7	13261	Dood lichaam van een dier	wiktionary
NADERBIJ	7	13262	Op kortere afstand	wiktionary
ONBENUL	7	13263	Volledig gebrek	wiktionary
PROPVOL	7	13264	Heel erg vol	wiktionary
RAVIOLI	7	13265	Italiaans gerecht	wiktionary
RECITAL	7	13266	Uitvoering	wiktionary
SPOTTER	7	13267	Iemand die aangeeft	wiktionary
SPREEUW	7	13268	Middelgrote zangvogel	wiktionary
STENNIS	7	13269	Ophef	wiktionary
TRAPPER	7	13270	Uitsteeksel	wiktionary
UITDUEL	7	13271	Wedstrijd	wiktionary
VEHIKEL	7	13272	Middel van vervoer	wiktionary
VERNUFT	7	13273	Verstand	wiktionary
WIJNSTOK	7	13274	Klimplant	wiktionary
AFGRIJZEN	8	13275	Gevoel van ontzetting	wiktionary
BLOEDVAT	8	13276	Kanaal	wiktionary
BOEKVORM	8	13277	Vorm die lijkt	wiktionary
DRIETAND	8	13278	Vork of staf	wiktionary
EMPLOYEE	8	13279	Werkkracht	wiktionary
FREEWARE	8	13280	Gratis software	wiktionary
GENEUZEL	8	13281	Aanhoudend zaniken	wiktionary
GRANDEUR	8	13282	Iets dat macht	wiktionary
INNOCENT	8	13283	Zonder kennis	wiktionary
KRISKRAS	8	13284	Willekeurig	wiktionary
OPHOPING	8	13285	Resultaat	wiktionary
SCHELVIS	8	13286	Vuurrode vis	wiktionary
SOULMATE	8	13287	Boezemvriend	wiktionary
SPECIMEN	8	13288	Typische representant	wiktionary
STAMBOEK	8	13289	Register	wiktionary
WELHAAST	8	13290	Bijna	wiktionary
ASPARTAAM	9	13291	Kunstmatige zoetstof	wiktionary
BIJPRODUCT	9	13292	Product	wiktionary
DIAFRAGMA	9	13293	Opening	wiktionary
FIGUREREN	9	13294	Rol vervullen	wiktionary
KANNIBAAL	9	13295	Mens die of dier	wiktionary
KETELHUIS	9	13296	Gebouw	wiktionary
NOODKREET	9	13297	Kreet of uiting	wiktionary
ONBEWAAKT	9	13298	Zonder toezicht	wiktionary
ONGELOVIG	9	13299	Niet geloven	wiktionary
OVERLOPER	9	13300	Buis voor het afvoeren	wiktionary
TANKWAGEN	9	13301	Vrachtwagen	wiktionary
THEATRAAL	9	13302	Op een manier	wiktionary
TRAMHALTE	9	13303	Stopplaats	wiktionary
BEWOONBAAR	10	13304	Geschikt	wiktionary
COLLOQUIUM	10	13305	Geleerd gesprek	wiktionary
DIENSTBODE	10	13306	Vrouw	wiktionary
INLOOPKAST	10	13307	Grote kast	wiktionary
OESTROGEEN	10	13308	Vrouwelijk hormoon	wiktionary
ONGEZOUTEN	10	13309	Zeer direct	wiktionary
RECHTEROOG	10	13310	Oog aan de overzijde	wiktionary
RECHTSTAAN	10	13311	Opstaan	wiktionary
RUILHANDEL	10	13312	Handel zonder geld	wiktionary
SLECHTVALK	10	13313	Roofvogel	wiktionary
STRAATTAAL	10	13314	Informele	wiktionary
STRANDTENT	10	13315	Speciaal	wiktionary
VERTREKTIJD	10	13316	Tijdstip	wiktionary
WEGVERVOER	10	13317	Vervoer over de weg	wiktionary
ACCELERATOR	11	13318	Middel	wiktionary
BEESTACHTIG	11	13319	Zo slecht	wiktionary
BLOEDSTROOM	11	13320	Stromen	wiktionary
DOORLICHTEN	11	13321	Grondig onderzoeken	wiktionary
GRONDVESTEN	11	13322	Basis leggen voor	wiktionary
KLAARWAKKER	11	13323	Helemaal wakker	wiktionary
ONBESCHAAMD	11	13324	Zonder schaamte	wiktionary
ONGEGENEERD	11	13325	Zonder schaamte	wiktionary
PLAATSMAKEN	11	13326	Verdwijnen	wiktionary
SCHILDERING	11	13327	Beschrijving	wiktionary
SCHITTERING	11	13328	Fel	wiktionary
SMARTENGELD	11	13329	Financiele vergoeding	wiktionary
SURREALISME	11	13330	Stroming in de kunst	wiktionary
TWEEDERANGS	11	13331	Van mindere kwaliteit	wiktionary
VLIEGVERBOD	11	13332	Regel	wiktionary
ACHILLESPEES	12	13333	Dikke pees	wiktionary
BANDRECORDER	12	13334	Toestel dat geluid opnam	wiktionary
BLOEMENCORSO	12	13335	Optocht	wiktionary
FAMILIEFEEST	12	13336	Feest dat samen	wiktionary
GERAFFINEERD	12	13337	Goed doordacht	wiktionary
LEEROMGEVING	12	13338	Totaal	wiktionary
RECORDBEDRAG	12	13339	In een reeks	wiktionary
SCHEERSCHUIM	12	13340	Cosmetisch product	wiktionary
VAKANTIEOORD	12	13341	Verblijf	wiktionary
WAPENWEDLOOP	12	13342	Wedloop	wiktionary
WERELDWINKEL	12	13343	Winkel	wiktionary
WISSELSTROOM	12	13344	Elektrische stroom	wiktionary
LEL	3	13345	Klap	wiktionary
HORT	4	13346	Plotselinge beweging	wiktionary
NAAF	4	13347	Centrale as	wiktionary
REEL	4	13348	Slank	wiktionary
RIEK	4	13349	Handwerktuig	wiktionary
ROEF	4	13350	Overdekt deel	wiktionary
STEE	4	13351	Plek	wiktionary
YONI	4	13352	Vrouwelijk genitaal	wiktionary
AFDAK	5	13353	Schuin	wiktionary
MANIE	5	13354	Ziekelijke neiging	wiktionary
AANWAS	6	13355	Aangroei	wiktionary
BEDERF	6	13356	Proces van aantasting	wiktionary
CLAXON	6	13357	Apparaat	wiktionary
CLOSET	6	13358	Toilet	wiktionary
DEBIET	6	13359	Afzet van waren	wiktionary
DOOIEN	6	13360	Stijgen	wiktionary
HOBBEL	6	13361	Kleine verhoging	wiktionary
LAMBDA	6	13362	Elfde letter	wiktionary
ROEIER	6	13363	Havenwerker	wiktionary
TENGER	6	13364	Smal van postuur	wiktionary
AFVAART	7	13365	Wegvaren	wiktionary
BAVIAAN	7	13366	Aap met een korte staart	wiktionary
BEZWEET	7	13367	Met zweet op de huid	wiktionary
CLASSIS	7	13368	Romeinse vlooteenheid	wiktionary
GEKRULD	7	13369	Gedraaid	wiktionary
HOEKMAN	7	13370	Beeld aan de zijkant	wiktionary
KOOIMAN	7	13371	Houder	wiktionary
LABELEN	7	13372	Voorzien	wiktionary
LIAISON	7	13373	Verbintenis	wiktionary
PIEKFIJN	7	13374	Zeer fijn	wiktionary
PIERROT	7	13375	Clown	wiktionary
RONDEEL	7	13376	Muziekstuk	wiktionary
SEQUOIA	7	13377	Enige boom binnen	wiktionary
STUNTEN	7	13378	Uitvoeren	wiktionary
TABLEAU	7	13379	Uitgebeeld	wiktionary
VORMSEL	7	13380	Sacrament	wiktionary
WEBCAST	7	13381	Uitzending die -	wiktionary
WROETEN	7	13382	Grond omwoelen	wiktionary
BIJVANGST	8	13383	Vissen	wiktionary
BRAVOURE	8	13384	Durf	wiktionary
FORENZEN	8	13385	Heen en weer reizen	wiktionary
FRUITSAP	8	13386	Sap gewonnen	wiktionary
INTIKKEN	8	13387	Met een tikje	wiktionary
MELANOOM	8	13388	Kwaadaardig gezwel v	wiktionary
MUNTSTUK	8	13389	Geslagen stuk metaal	wiktionary
ONEERVOL	8	13390	Zonder enige eer	wiktionary
ONGEREMD	8	13391	Zonder een rem	wiktionary
OVERMOED	8	13392	Met te veel moed	wiktionary
RETENTIE	8	13393	Ophouding	wiktionary
SOJAMELK	8	13394	Stabiele emulsie	wiktionary
VAGINAAL	8	13395	Met betrekking	wiktionary
AFSTOFFEN	9	13396	Ontdoen van stof	wiktionary
ALLEGORIE	9	13397	Metafoor in de vorm	wiktionary
BRANDEWIJN	9	13398	Soort sterke drank	wiktionary
CHEMOKUUR	9	13399	Iemand die kaal is	wiktionary
DRINKBAAR	9	13400	Veilig in te nemen	wiktionary
GIECHELEN	9	13401	Snelle	wiktionary
KASKRAKER	9	13402	Film of uitvoering	wiktionary
KINKHOEST	9	13403	Bepaalde kinderziekte	wiktionary
ONBEPAALD	9	13404	Zonder grenzen	wiktionary
OPPOETSEN	9	13405	Enz	wiktionary
REGULATIE	9	13406	Aanpassing	wiktionary
SOMMELIER	9	13407	Wijnkenner die zorgt	wiktionary
UNPLUGGED	9	13408	Zonder stopcontact	wiktionary
AARDIGHEID	10	13409	Prettige	wiktionary
BERGPLAATS	10	13410	Plaats	wiktionary
BILLENKOEK	10	13411	Lijfstraf die bestaat	wiktionary
FOTOCAMERA	10	13412	Toestel	wiktionary
GEMOEDELIJK	10	13413	Vriendelijk en gezellig	wiktionary
GRONDRECHT	10	13414	Fundamentele rechten	wiktionary
HOEGENAAMD	10	13415	Nagenoeg	wiktionary
KIEKENDIEF	10	13416	Slanke	wiktionary
LIQUIDEREN	10	13417	Afwikkelen	wiktionary
OEUVREPRIJS	10	13418	Blijk van waardering	wiktionary
OPENZETTEN	10	13419	Iets in een stand zetten	wiktionary
PREPAREREN	10	13420	Bewerken	wiktionary
REMSYSTEEM	10	13421	Apparatuur	wiktionary
ROTTWEILER	10	13422	Duits hondenras	wiktionary
STARTMOTOR	10	13423	Kleine elektromotor	wiktionary
UITTREDING	10	13424	Met pensioen gaan	wiktionary
ZONNESTEEK	10	13425	Plotselinge aandoening	wiktionary
BENAUWDHEID	11	13426	Moeite hebben	wiktionary
BESPOEDIGEN	11	13427	Proces	wiktionary
BOERENMARKT	11	13428	Markt	wiktionary
FAMILIEBAND	11	13429	Hechtheid	wiktionary
GELUKSGETAL	11	13430	Getal	wiktionary
HANDGRANAAT	11	13431	Granaat	wiktionary
ONDERSTROOM	11	13432	Stroming diep	wiktionary
RONDVLIEGEN	11	13433	Ongeordend	wiktionary
STAATSRECHT	11	13434	Dat gedeelte	wiktionary
VERVALDATUM	11	13435	Uiterste datum	wiktionary
VERZWAKKING	11	13436	Verlies van kracht	wiktionary
ZIENDEROGEN	11	13437	Op dusdanig snelle wijze	wiktionary
BOORPLATFORM	12	13438	Platform op zee	wiktionary
GODDELIJKHEID	12	13439	God zijn	wiktionary
GRANAATAPPEL	12	13440	Tropische plant	wiktionary
HERSENSCHADE	12	13441	Letsel van het brein	wiktionary
MINISTERIEEL	12	13442	Met betrekking	wiktionary
NIETSZEGGEND	12	13443	Onbeduidend	wiktionary
PARTIJCONGRES	12	13444	Nationale bijeenkomst	wiktionary
RELATIVITEIT	12	13445	Beperkte geldigheid	wiktionary
STUDIESCHULD	12	13446	Schuld die is gemaakt	wiktionary
TANDENSTOKER	12	13447	Puntig instrumentje	wiktionary
MUL	3	13448	Dun katoenen weefsel	wiktionary
AWEL	4	13449	Komaan	wiktionary
FADE	4	13450	Geleidelijk verandering	wiktionary
FUUT	4	13451	Watervogel	wiktionary
LEUT	4	13452	Genoegen	wiktionary
SNUF	4	13453	Nabootsing	wiktionary
SUMO	4	13454	Traditionele vorm	wiktionary
TOSS	4	13455	Opgooi van een muntstuk	wiktionary
ANJER	5	13456	Geslacht van bloemplanten	wiktionary
BONJE	5	13457	Hebben ruzie hebben	wiktionary
ETTER	5	13458	Wittig vocht	wiktionary
LIJFJE	5	13459	Deel van een kledingstuk	wiktionary
STIEL	5	13460	Ambacht	wiktionary
TETRA	5	13461	Vis behorende	wiktionary
ANGINA	6	13462	Is een ontsteking	wiktionary
BIJTEND	6	13463	Zo scherp	wiktionary
CACHET	6	13464	Aanzien	wiktionary
GEBLAF	6	13465	Telkens	wiktionary
GOKKER	6	13466	Iemand die gokt	wiktionary
HOERIG	6	13467	Kenmerken hebbend	wiktionary
JETSKI	6	13468	Soort scooter	wiktionary
KANSEL	6	13469	Kerkelijk	wiktionary
KNUDDE	6	13470	Heel slecht	wiktionary
KOLDER	6	13471	Onzin	wiktionary
KOLVEN	6	13472	Aftappen	wiktionary
KUNGFU	6	13473	Studie en lering	wiktionary
POINTE	6	13474	Derde en laatste deel	wiktionary
RAMING	6	13475	Ramen	wiktionary
ROSKAM	6	13476	Grof soort kam	wiktionary
SEREEN	6	13477	Heel rustig	wiktionary
SHAKEN	6	13478	Schudden	wiktionary
BAJONET	7	13479	Bodák	wiktionary
BEGEREN	7	13480	Sterk verlangen	wiktionary
BELEZEN	7	13481	Veel gelezen hebbend	wiktionary
BERGPAS	7	13482	Lager gelegen deel	wiktionary
BURRITO	7	13483	Mexicaans gerecht	wiktionary
ECHELON	7	13484	Militaire formatie	wiktionary
FANSHOP	7	13485	Winkel	wiktionary
FIXEREN	7	13486	Blik onafwendbaar	wiktionary
GOLFBAL	7	13487	Kleine harde bal	wiktionary
HUISKAT	7	13488	Is een tamme kat	wiktionary
HUISMUS	7	13489	Kleine zangvogel	wiktionary
KROKANT	7	13490	Knapperig	wiktionary
KWARTEL	7	13491	Vederwild en hoendervogel	wiktionary
PAREREN	7	13492	Afweren	wiktionary
PRIKKIE	7	13493	Weinig geld	wiktionary
SMOEZEN	7	13494	Praten	wiktionary
STROPEN	7	13495	Huid van een dier afhalen	wiktionary
STROPER	7	13496	Jager of visser	wiktionary
UTILITY	7	13497	Klein programma	wiktionary
VROEGTE	7	13498	Begin van de morgen	wiktionary
ZEESLAG	7	13499	Militair treffen	wiktionary
AFZEIKEN	8	13500	Belachelijk maken	wiktionary
BELIEVEN	8	13501	Naar de zin zijn	wiktionary
COHERENT	8	13502	Samenhangend	wiktionary
DISCOUNT	8	13503	Korting	wiktionary
DOBBELEN	8	13504	Spelen van een kansspel	wiktionary
FRUCTOSE	8	13505	Bepaalde suiker	wiktionary
GALLOWAY	8	13506	Schots runderras	wiktionary
GELDNOOD	8	13507	Groot gebrek	wiktionary
HEENREIS	8	13508	Reis van vertrekpunt	wiktionary
HOOFDMAN	8	13509	Bevelhebber	wiktionary
HUIVERIG	8	13510	Angstig	wiktionary
INDUIKEN	8	13511	Ergens	wiktionary
KAPSONES	8	13512	Drukte	wiktionary
KRULTANG	8	13513	Werktuig gebruikt	wiktionary
LIJFRENTE	8	13514	Bedrag dat periodiek	wiktionary
MENISCUS	8	13515	Schijfje kraakbeen	wiktionary
ONTRADEN	8	13516	Afraden	wiktionary
OPDIENEN	8	13517	Eten en drinken	wiktionary
OPVRETEN	8	13518	Enz	wiktionary
PROMILLE	8	13519	Per duizend	wiktionary
REGENPIJP	8	13520	Verticale buis	wiktionary
TERSTOND	8	13521	Onmiddellijk	wiktionary
WEEKEIND	8	13522	Periode van vrijdagavond	wiktionary
AANSNIJDEN	9	13523	Eerste stuk er afsnijden	wiktionary
AUTOSTOEL	9	13524	Zitplaats	wiktionary
BARRACUDA	9	13525	Baarsachtige zeeroofvis	wiktionary
BEDOENING	9	13526	Druk gedoe	wiktionary
FLADDEREN	9	13527	Flutter	wiktionary
GRENSSTAD	9	13528	Plaats die zich bevindt	wiktionary
HALVERING	9	13529	Verkleinen tot de helft	wiktionary
HEELKUNDE	9	13530	Tak van de geneeskunde	wiktionary
KROONLIJST	9	13531	Bovenste lijst	wiktionary
MANDOLINE	9	13532	Klein	wiktionary
MANNEQUIN	9	13533	Etalagepop	wiktionary
OPKRIKKEN	9	13534	Met behulp	wiktionary
ORATORIUM	9	13535	Geestelijk zangstuk	wiktionary
PARTYTENT	9	13536	Tent die men gebruikt	wiktionary
PREMATUUR	9	13537	Voorbarig	wiktionary
RAKELINGS	9	13538	Vlak langs	wiktionary
STIPTHEID	9	13539	Eigenschap	wiktionary
UITGOOIEN	9	13540	Iets van je af gooien	wiktionary
WEGROTTEN	9	13541	Door rotten verdwijnen	wiktionary
BELASTBAAR	10	13542	Dat het gewicht kan	wiktionary
BLIKOPENER	10	13543	Stuk gereedschap	wiktionary
DEPENDANCE	10	13544	Gebouw of complex	wiktionary
GASFORNUIS	10	13545	Fornuis waar gas	wiktionary
GRAFKELDER	10	13546	Gedeeltelijk	wiktionary
HERSENSTAM	10	13547	Verbinding	wiktionary
KAMERPLANT	10	13548	Cultuurplant	wiktionary
NEERVALLEN	10	13549	Te snel	wiktionary
SCHETSBOEK	10	13550	Boek of schrift	wiktionary
STIMULATOR	10	13551	Iemand die of toestel	wiktionary
SUPERMACHT	10	13552	Staat	wiktionary
TOVERWOORD	10	13553	Begrip	wiktionary
TROOSTPRIJS	10	13554	Prijs	wiktionary
UITZWAAIEN	10	13555	Zwaaien	wiktionary
ZOEKGEBIED	10	13556	Gebied	wiktionary
AFBREEKBAAR	11	13557	Mate waarin een product	wiktionary
CONSISTORIE	11	13558	Vergadering van de paus	wiktionary
DEACTIVEREN	11	13559	Uitschakelen	wiktionary
DONKERBLOND	11	13560	Van haren	wiktionary
FILMTHEATER	11	13561	Gebouw	wiktionary
GEOMETRISCH	11	13562	Betreffende de meetkunde	wiktionary
LICHTZINNIG	11	13563	Zonder na denken	wiktionary
MELKFABRIEK	11	13564	Bedrijf	wiktionary
MONOCULTUUR	11	13565	Landbouw	wiktionary
OVENSCHOTEL	11	13566	Gerecht	wiktionary
PROCESRECHT	11	13567	Geheel	wiktionary
STREETDANCE	11	13568	Dansstijl	wiktionary
VARKENSSTAL	11	13569	Overdekt verblijf	wiktionary
DAGJESMENSEN	12	13570	Mensen	wiktionary
FIETSAFSTAND	12	13571	Afstand	wiktionary
GROEPSLEIDER	12	13572	Leider	wiktionary
HERGROEPEREN	12	13573	Organisaties	wiktionary
MATERIALISME	12	13574	Hechten	wiktionary
MECHANISATIE	12	13575	Vervangen	wiktionary
NORMALISEREN	12	13576	Terug brengen	wiktionary
RAPPORTCIJFER	12	13577	Cijfer	wiktionary
SCHOOLLEIDER	12	13578	Directeur	wiktionary
SOCIOLOGISCH	12	13579	Betrekking hebbend	wiktionary
TROMMELVLIES	12	13580	Membraan in het oor	wiktionary
VOORTSTUWING	12	13581	Aandrijving	wiktionary
VRIJGEVIGHEID	12	13582	Graag	wiktionary
RIS	3	13583	Bundel vlas	wiktionary
WAK	3	13584	Gat in het ijs	wiktionary
DRAF	4	13585	Gang van paard	wiktionary
DREK	4	13586	Mest	wiktionary
KRAK	4	13587	Geluid wat ontstaat	wiktionary
PIPS	4	13588	Er ongezond	wiktionary
POOK	4	13589	Stang om het vuur	wiktionary
SOOS	4	13590	Gelegenheid waar leden	wiktionary
DOLEN	5	13591	Doelloos	wiktionary
INNIG	5	13592	Van binnen gevoeld	wiktionary
KRIEK	5	13593	Laatrijpe	wiktionary
MIRRE	5	13594	Commiphora myrrha plant	wiktionary
RATEL	5	13595	Eenvoudige muziek-	wiktionary
SAGEN	5	13596	Zeggen	wiktionary
TIMEN	5	13597	Tijdstip of de tijdsduur	wiktionary
TINNE	5	13598	Hoogste deel	wiktionary
CONVEX	6	13599	Bolrond	wiktionary
DOPPER	6	13600	Stakker	wiktionary
FAVELA	6	13601	Braziliaanse sloppenwijk	wiktionary
HUMMER	6	13602	Kreeft	wiktionary
IDIOOM	6	13603	Bijzondere uitdrukking	wiktionary
JAMMEN	6	13604	Vastlopen van papier	wiktionary
MINNEN	6	13605	Vrijen	wiktionary
NAPALM	6	13606	Benzine waaraan	wiktionary
RANCHO	6	13607	Amerikaans landgoed	wiktionary
SCHULP	6	13608	Schelp	wiktionary
SUMMUM	6	13609	Hoogtepunt	wiktionary
TOPDAG	6	13610	Hele drukke dag	wiktionary
WOELEN	6	13611	Onrustig bewegen	wiktionary
WREVEL	6	13612	Boos	wiktionary
AALMOES	7	13613	Liefdegift	wiktionary
ADAGIUM	7	13614	Spreuk	wiktionary
ARABICA	7	13615	Koffiebonen afkomstig	wiktionary
DOORKIJK	7	13616	Gelegenheid of opening	wiktionary
GEFLUIT	7	13617	Geluid	wiktionary
GROMMEN	7	13618	Nijdig	wiktionary
HUTSPOT	7	13619	Stamppot van aardappelen	wiktionary
INTRIGE	7	13620	Tweede bedrijf	wiktionary
LOOPING	7	13621	Verticale lus	wiktionary
MISKOOP	7	13622	Koop waar je spijt	wiktionary
ONDEUGD	7	13623	Slechte gewoonte	wiktionary
OREGANO	7	13624	Vers of gedroogd	wiktionary
STOLLEN	7	13625	Overgaan	wiktionary
TABLOID	7	13626	Dagblad met veel roddel	wiktionary
TOENDRA	7	13627	Grote moerassige	wiktionary
UITHAAL	7	13628	Krachtige beweging	wiktionary
ADEMNOOD	8	13629	Gebrek	wiktionary
ARTEFACT	8	13630	Onbedoeld resultaat	wiktionary
BALLROOM	8	13631	Danszaal	wiktionary
BLOEITIJD	8	13632	Periode van het jaar	wiktionary
DEFLATIE	8	13633	Vallen	wiktionary
DRUKPERS	8	13634	Uitgeven	wiktionary
GEJAMMER	8	13635	Voortdurend jammeren	wiktionary
HERRIJZEN	8	13636	Opnieuw oprijzen	wiktionary
KERKKLOK	8	13637	Bel in de toren	wiktionary
KEURSLIJF	8	13638	Iets wat te streng	wiktionary
KLAPROOS	8	13639	Papaver rhoeas	wiktionary
LACONIEK	8	13640	Kort en snedig	wiktionary
MEEVAREN	8	13641	Anderen vergezellen	wiktionary
MONOLIET	8	13642	Zuil uit een stuk	wiktionary
ONTBEREN	8	13643	Iets missen	wiktionary
OUDTANTE	8	13644	Tante van een ouder	wiktionary
OVERDRUK	8	13645	Extra uitgave	wiktionary
RECEIVER	8	13646	Ontvanger	wiktionary
STUITEND	8	13647	Moreel verwerpelijk	wiktionary
UITLOPER	8	13648	Groeiende	wiktionary
VLAMMEND	8	13649	Brandend	wiktionary
VUURDOOP	8	13650	Eerste gevecht	wiktionary
VUURKORF	8	13651	Ijzeren mand	wiktionary
ALMACHTIG	9	13652	Onbeperkte macht	wiktionary
BIJPASSEND	9	13653	Goed staan bij elkaar	wiktionary
CHLOORGAS	9	13654	Gas bestaande	wiktionary
DOELMATIG	9	13655	Geschikt	wiktionary
DRESSCODE	9	13656	Sociale code	wiktionary
EEUWFEEST	9	13657	Feestelijke herdenking	wiktionary
INDEXATIE	9	13658	Bepalen	wiktionary
MEERJARIG	9	13659	Langer dan één jaar	wiktionary
OPZEGBAAR	9	13660	Kunnen beëindigen	wiktionary
PENTAGRAM	9	13661	Vijfpuntige ster	wiktionary
PEPERDUUR	9	13662	Zeer hoog in prijs	wiktionary
ROODBRUIN	9	13663	Deze kleur hebbend	wiktionary
SAMENZANG	9	13664	Gezang dat door twee	wiktionary
SCEPTICUS	9	13665	Iemand die erg twijfelt	wiktionary
SMEEROLIE	9	13666	Olie voor het smeren	wiktionary
STAPELGEK	9	13667	Helemaal gestoord	wiktionary
UITBATING	9	13668	Beheer van bezittingen	wiktionary
UITSTUREN	9	13669	Iemand ergens	wiktionary
WEEKMARKT	9	13670	Markt die eens	wiktionary
GOEDPRATEN	10	13671	Argumenten aanvoeren	wiktionary
HIERBINNEN	10	13672	Binnen dit	wiktionary
INTRINSIEK	10	13673	Wezenlijk	wiktionary
ONNOZELAAR	10	13674	Idioot	wiktionary
PANIEKERIG	10	13675	Te angstig en te bang	wiktionary
PRAALWAGEN	10	13676	Versierde wagen	wiktionary
SMELTKROES	10	13677	Vuurvaste pot	wiktionary
UITGEBLUST	10	13678	Alle moed	wiktionary
VERFRAAIEN	10	13679	Mooier maken	wiktionary
WINDTUNNEL	10	13680	Tunnel	wiktionary
COPRODUCTIE	11	13681	Gezamenlijke productie	wiktionary
DISPENSATIE	11	13682	Vrijstelling	wiktionary
DRUGSKARTEL	11	13683	Grote	wiktionary
HIEROMTRENT	11	13684	Betreffend dit	wiktionary
KAPPERSZAAK	11	13685	Onderneming	wiktionary
PIANOSPELEN	11	13686	Muziek maken	wiktionary
STRIJDLUSTIG	11	13687	Veel zin hebben	wiktionary
VERLANGLIJST	11	13688	Opsomming van wensen	wiktionary
VERRADERLIJK	11	13689	Niet te vertrouwen	wiktionary
VOORHEFFING	11	13690	Belasting	wiktionary
WEERLEGGING	11	13691	Betoog	wiktionary
HARTOPERATIE	12	13692	Operatie aan	wiktionary
MILIEUBELEID	12	13693	Beleid t	wiktionary
NETWERKKABEL	12	13694	Kabel	wiktionary
OVERBRUGGING	12	13695	Maken	wiktionary
PAARDENMARKT	12	13696	Markt	wiktionary
SPECIAALBIER	12	13697	Bier dat geen pils is	wiktionary
WERELDWONDER	12	13698	Uniek bouwwerk	wiktionary
WOONGEDEELTE	12	13699	Gedeelte van een gebouw	wiktionary
DRA	3	13700	Spoedig	wiktionary
KIF	3	13701	Dat een hoog gehalte	wiktionary
NIJD	3	13702	Grondige afkeer	wiktionary
KWAB	4	13703	Weke massa vlees of vet	wiktionary
OPOE	4	13704	Grootmoeder	wiktionary
BLAAM	5	13705	Slechte reputatie	wiktionary
CHOKE	5	13706	Onderdeel	wiktionary
FAKEN	5	13707	Simuleren	wiktionary
